tab 	measurements
citations	dir_csd	dir_dec	dir_inc	experiment	magn_moment	meas_temp	measurement	method_codes	quality	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	0.6	200.6	27.9	sr01e2-LP-DIR-AF	2.93e-05	273	1	LT-NO:LP-DIR-AF	g	sr01e2	u	0	0	0	0	273
This study	0.9	201	27.7	sr01e2-LP-DIR-AF	2.83e-05	273	2	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.01	0	0	0	273
This study	0.9	200.5	27.4	sr01e2-LP-DIR-AF	2.61e-05	273	3	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.02	0	0	0	273
This study	0.7	199.9	27.7	sr01e2-LP-DIR-AF	2.37e-05	273	4	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.03	0	0	0	273
This study	1	202.5	27.9	sr01e2-LP-DIR-AF	1.85e-05	273	5	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.06	0	0	0	273
This study	1	199.4	27.4	sr01e2-LP-DIR-AF	1.54e-05	273	6	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.08	0	0	0	273
This study	1	200.3	27.9	sr01e2-LP-DIR-AF	1.26e-05	273	7	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.1	0	0	0	273
This study	1	198.9	27.6	sr01e2-LP-DIR-AF	1.05e-05	273	8	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.12	0	0	0	273
This study	1	201.6	27.9	sr01e2-LP-DIR-AF	8.73e-06	273	9	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.14	0	0	0	273
This study	1	200.5	27.2	sr01e2-LP-DIR-AF	7.63e-06	273	10	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.16	0	0	0	273
This study	1	202.3	27.7	sr01e2-LP-DIR-AF	6.55e-06	273	11	LT-AF-Z:LP-DIR-AF	g	sr01e2	u	0.18	0	0	0	273
This study	1.4	178.7	39.1	sr01g2-LP-DIR-AF	2.28e-05	273	12	LT-NO:LP-DIR-AF	g	sr01g2	u	0	0	0	0	273
This study	1.1	180.6	38.3	sr01g2-LP-DIR-AF	2.18e-05	273	13	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.01	0	0	0	273
This study	1.7	177.9	38.2	sr01g2-LP-DIR-AF	1.92e-05	273	14	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.02	0	0	0	273
This study	1.6	180	38.2	sr01g2-LP-DIR-AF	1.64e-05	273	15	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.03	0	0	0	273
This study	1	179.8	38.5	sr01g2-LP-DIR-AF	1.42e-05	273	16	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.04	0	0	0	273
This study	1	182.9	38.3	sr01g2-LP-DIR-AF	1.14e-05	273	17	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.06	0	0	0	273
This study	1	183.1	38.2	sr01g2-LP-DIR-AF	9.46e-06	273	18	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.08	0	0	0	273
This study	1	179.5	38.2	sr01g2-LP-DIR-AF	7.97e-06	273	19	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.1	0	0	0	273
This study	1	181.5	38.3	sr01g2-LP-DIR-AF	6.69e-06	273	20	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.12	0	0	0	273
This study	1	179.1	38.2	sr01g2-LP-DIR-AF	5.67e-06	273	21	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.14	0	0	0	273
This study	1	180.1	38.5	sr01g2-LP-DIR-AF	4.72e-06	273	22	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.16	0	0	0	273
This study	1	179.9	38.3	sr01g2-LP-DIR-AF	4.2e-06	273	23	LT-AF-Z:LP-DIR-AF	g	sr01g2	u	0.18	0	0	0	273
This study	1.4	42.7	-49.9	sr03f1-LP-DIR-AF	0.000124	273	24	LT-NO:LP-DIR-AF	g	sr03f1	u	0	0	0	0	273
This study	1.2	39.3	-51.5	sr03f1-LP-DIR-AF	0.000126	273	25	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.01	0	0	0	273
This study	1.4	39.3	-52.3	sr03f1-LP-DIR-AF	9.73e-05	273	26	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.02	0	0	0	273
This study	1.8	40.4	-53	sr03f1-LP-DIR-AF	6.04e-05	273	27	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.03	0	0	0	273
This study	1	39.9	-53.7	sr03f1-LP-DIR-AF	3.64e-05	273	28	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.04	0	0	0	273
